"","V1","V2","V3","V4"
"1",3164,3309,24304,21701
"2",9887,9840,23360,9878
"3",17180,17158,308,17099
"4",5418,5390,5315,5285
"5",4684,4619,4814,4536
"6",20432,20510,16161,16388
"7",5888,5896,21398,5821
"8",16025,15836,15710,15734
"9",7312,6877,21332,21168
"10",15847,15263,23870,15716
"11",13607,12569,12560,13051
"12",11877,11775,11777,11357
"13",5529,5132,4992,18369
"14",21668,5917,23837,22422
"15",5084,18393,20914,21010
"16",17307,1949,17234,1903
"17",12998,13069,21263,12976
"18",12,15,98,16885
"19",4556,18008,18140,18084
"20",16932,17014,16971,17026
"21",5187,18398,5534,18298
"22",1822,1843,1283,1020
"23",8965,22646,24520,24507
"24",3975,3612,17924,17938
"25",21765,21218,23364,22016
"26",7105,6965,23518,21699
"27",8435,8429,24039,22527
"28",7605,7573,23025,7610
"29",17126,236,233,17225
"30",21058,21023,14311,14131
"31",14568,14764,14723,14445
"32",17828,3724,17922,3928
"33",12139,19315,19171,19262
"34",17864,18004,3878,3480
"35",11101,11049,22412,22323
"36",13590,14000,12721,14123
"37",16624,16683,16703,16440
"38",1998,17354,2042,2222
"39",3705,3832,4084,3515
"40",14195,14283,24506,24416
"41",3284,17737,3597,3654
"42",9074,9078,23693,9099
"43",1350,1319,24788,22699
"44",3064,2746,23350,2889
"45",6307,5159,4987,5188
"46",2464,2171,2196,1988
"47",13596,13489,14118,13024
"48",7435,6800,7723,7019
"49",16629,16564,16588,20611
"50",447,467,24895,22883
"51",12976,21263,24008,22072
"52",3436,17917,3377,4179
"53",18119,4312,18006,4182
"54",6659,6755,21969,6694
"55",16521,16427,16656,16587
"56",3475,3906,18011,3690
"57",6732,5354,6800,6371
"58",17495,2294,2383,2561
"59",13867,13970,13734,13634
"60",16310,16427,16432,16419
"61",13529,13594,22939,22938
"62",13614,19484,19544,19452
"63",19667,14689,21001,19811
"64",3089,3168,2763,2927
"65",7195,6669,6893,6804
"66",15578,15844,15804,15656
"67",18548,7216,7030,6572
"68",4768,5083,5114,5125
"69",2665,2554,2639,2900
"70",2082,2477,2326,2209
"71",8303,21695,23752,23137
"72",8506,8656,22828,8936
"73",8356,21553,24785,21572
"74",6803,6670,7088,5549
"75",8604,11341,21179,11231
"76",3745,3542,3264,3685
"77",1505,1524,21837,1528
"78",10074,10305,11272,9514
"79",12394,13735,13862,19428
"80",16026,16263,16358,16063
"81",21064,18089,18050,18055
"82",21187,6553,21587,21357
"83",10845,10715,22181,10390
"84",10776,10576,22050,10735
"85",7454,22004,23198,22606
"86",19633,19573,19539,14069
"87",10268,10481,22662,21639
"88",4801,5036,18396,5391
"89",11647,11733,11146,9493
"90",11227,8042,23162,21582
"91",161,16974,17040,16956
"92",21221,21379,22838,22154
"93",18847,18960,11234,8634
"94",1963,1896,2175,2156
"95",23117,23115,24871,24575
"96",6862,5317,5247,5699
"97",7372,6858,21185,6920
"98",1275,23771,23783,23781
"99",22351,23639,24211,24102
"100",21377,21232,23826,21503
"101",14380,19659,19624,14663
"102",14227,13813,13977,13741
"103",16391,20522,20471,16477
"104",7462,6983,22026,7016
"105",246,916,21492,1762
"106",5727,5740,22574,5729
"107",2774,2592,2479,2681
"108",15455,15723,20028,15211
"109",2752,3186,2649,2562
"110",14900,14515,14895,14864
"111",19354,19280,23573,22889
"112",16726,16798,23862,16718
"113",17577,2410,2709,2650
"114",4318,4150,4126,4217
"115",2520,2366,21252,2679
"116",14360,14526,19580,19721
"117",19153,19254,11909,11899
"118",3048,2940,3218,3516
"119",12099,19102,21442,19045
"120",19999,19960,15120,19881
"121",17153,17176,17090,902
"122",14919,19910,15369,15244
"123",7997,8007,23434,8102
"124",19543,14000,12721,12533
"125",9739,9738,23550,9820
"126",5655,5705,21375,5677
"127",326,17081,17139,17075
"128",6945,6813,7111,18735
"129",8362,8381,21677,8377
"130",14870,14535,14747,14358
"131",22665,22749,23324,23220
"132",5223,5220,5335,6532
"133",6242,6138,21191,6229
"134",6821,7757,7314,7400
"135",15867,15286,21430,21268
"136",6690,21042,6617,6706
"137",6569,5180,5453,5721
"138",16666,16691,20724,16646
"139",12854,12704,21421,12757
"140",17932,4184,4178,18035
"141",4604,4298,4191,4448
"142",4312,4195,17922,3928
"143",3960,3894,3766,3754
"144",7299,10446,21923,10791
"145",231,17059,525,17030
"146",19350,19348,19429,14110
"147",4045,3933,4309,3900
"148",13194,23134,24272,24078
"149",11931,18991,19001,19078
"150",9232,9822,22261,22078
"151",17981,3716,4235,18056
"152",6528,7148,6909,6552
"153",16529,16278,21170,16389
"154",17038,680,248,16988
"155",17063,17220,320,17128
"156",14811,14968,15297,15433
"157",15343,15356,15639,15275
"158",469,1617,155,867
"159",3004,17705,17625,17553
"160",4888,4530,18271,4756
"161",2165,1952,1937,1133
"162",2966,2324,2736,2484
"163",13804,14007,13887,13390
"164",205,182,17058,17087
"165",605,627,22614,661
"166",1714,1025,212,186
"167",18236,18352,22825,18273
"168",16886,16861,11,50
"169",19430,12549,23810,19365
"170",19887,19969,22392,19987
"171",9689,9702,22184,9749
"172",2043,911,17367,17252
"173",3990,4431,4505,4174
"174",2940,2636,2486,17559
"175",2232,2153,2216,2244
"176",17408,2272,2681,2608
"177",17911,3749,4090,4026
"178",19641,19725,14470,19555
"179",4599,4751,4613,4678
"180",2416,2357,2120,2215
"181",17800,17827,22996,3193
"182",21241,21660,23675,21887
"183",268,577,216,17021
"184",21403,21957,23724,23603
"185",3203,17788,3157,3658
"186",15353,15064,23874,15444
"187",440,460,22448,583
"188",3635,17878,4079,3849
"189",15987,20267,24421,15855
"190",14242,14514,19692,19749
"191",159,103,16976,62
"192",19518,13918,19529,19406
"193",15436,20074,21519,15779
"194",22770,21597,22971,22950
"195",303,327,24541,288
"196",897,929,21824,907
"197",5275,18276,5022,5167
"198",18119,18105,4598,18216
"199",17779,3046,17855,17675
"200",6262,6320,23098,6265
"201",11548,11742,23966,11856
"202",9163,9275,22237,9168
"203",7703,7663,22789,7657
"204",7379,7074,21210,6981
"205",3070,17655,3238,3138
"206",15129,15247,15394,15679
"207",2773,3305,3356,3337
"208",3221,17672,2910,17790
"209",5585,5434,5209,5386
"210",21378,21439,22554,21607
